fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention Center Lease Payment Fund,23688063.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention Facilities State Reimbursement,1428934.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Economic Development Incentive Fund,2585518.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Edwards Aquifer Land Acquisition -,19717427.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Energy Efficiency Fund,1148692.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Golf,1001076.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Hotel Occupancy Tax,69037435.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Hotel/Motel 2%,19686835.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Inner City Incentive Fund,2073566.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Juvenile Case Manager Fund,988144.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Municipal Courts Security,533534.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Municipal Courts Technology,471293.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Environmental Fund,7009440.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,14000.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,449258.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,15878265.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Prek4SA,41754557.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Public Education & Government,2921193.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Right of Way,3832242.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Starbright Industrial Development Corporation,1663177.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Storm Water,49480070.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Storm Water Regional Facilities,5567775.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tax Increment Financing,839527.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tree Canopy & Mitigation,1266564.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tricentennial,1941160.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,TOTAL SPECIAL REVENUE FUNDS,355157672.0,2018,True
Enterprise Funds,ENTERPRISE FUNDS,Airport,101374371.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,Customer Facility Charge,10687508.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,Passenger Facility Charge,17064448.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,Development Services,33483849.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,Market Square,2943917.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,Parking,10821198.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,Solid Waste Operating & Maintenance,117055363.0,2018,False
Enterprise Funds,ENTERPRISE FUNDS,TOTAL ENTERPRISE FUNDS,293430653.0,2018,True
Trust Funds,TRUST FUNDS,City Cemetery,166292.0,2018,False
Trust Funds,TRUST FUNDS,TOTAL TRUST FUNDS,166292.0,2018,True
Internal Service Funds,INTERNAL SERVICE FUNDS,Capital Improvements Management Services,20482589.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Equipment Renewal & Replacement,40858428.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Facility Services,16397797.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Fleet Services,39541386.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Information Technology Services,59848648.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Purchasing & General Services,6484065.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Self Insurance,187925769.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,TOTAL INTERNAL SERVICE FUNDS,371538681.0,2018,True
Internal Service Funds,INTERNAL SERVICE FUNDS,Grants,147211927.0,2018,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Debt Services,282966083.0,2018,False
General Fund,GENERAL FUND,Current Property Tax,361881034.0,2019,False
General Fund,GENERAL FUND,City Sales Tax,295298361.0,2019,False
General Fund,GENERAL FUND,CPS Energy,363043981.0,2019,False
General Fund,GENERAL FUND,Business and Franchise Tax,28151751.0,2019,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,9112202.0,2019,False
General Fund,GENERAL FUND,Delinquent Property Tax,721210.0,2019,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2111000.0,2019,False
General Fund,GENERAL FUND,Licenses and Permits,9287323.0,2019,False
General Fund,GENERAL FUND,San Antonio Water System,18267512.0,2019,False
General Fund,GENERAL FUND,Other Agencies,5030973.0,2019,False
General Fund,GENERAL FUND,General Government,3715881.0,2019,False
General Fund,GENERAL FUND,Public Safety,44927386.0,2019,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,1110480.0,2019,False
General Fund,GENERAL FUND,Health,3127272.0,2019,False
General Fund,GENERAL FUND,Recreation and Culture,14395045.0,2019,False
General Fund,GENERAL FUND,Fines,11729139.0,2019,False
General Fund,GENERAL FUND,Sale of Property,3532753.0,2019,False
General Fund,GENERAL FUND,Use of Money and Property,2793769.0,2019,False
General Fund,GENERAL FUND,Interest on Time Deposits,5862207.0,2019,False
General Fund,GENERAL FUND,Recovery of Expenditures,2940049.0,2019,False
General Fund,GENERAL FUND,Miscellaneous,2089156.0,2019,False
General Fund,GENERAL FUND,Interfund Charges,1850000.0,2019,False
General Fund,GENERAL FUND,Transfers,38258037.0,2019,False
General Fund,GENERAL FUND,TOTAL GENERAL FUND,1229236521.0,2019,True
Special Revenue Funds,SPECIAL REVENUE FUNDS,Advanced Transportation District,17778643.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Arts & Culture,10941821.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Child Safety,2267243.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Community & Visitor Facilities,50005698.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Confiscated Property,832422.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention Center Lease Payment Fund,25338043.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention Facilities State Reimbursement,1781852.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Economic Development Incentive Fund,2827989.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Edwards Aquifer Land Acquisition -,21080086.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Energy Efficiency Fund,1200963.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Golf,1122080.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Hotel Occupancy Tax,71063456.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Hotel/Motel 2%,20282609.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Inner City Incentive Fund,2061533.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Juvenile Case Manager Fund,1015415.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Municipal Courts Security,529108.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Municipal Courts Technology,465437.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Environmental Fund,7196403.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,14000.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,344258.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,16416410.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Prek4SA,42970894.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Public Education & Government,2969092.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Right of Way,3094135.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Starbright Industrial Development Corporation,1663177.0,2019,False
